success,timeout,failed_images,failed_audio,failed_video,typeoftrial,subject,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,sona_id,rt,response,Experiment,stimulus,list_number,trialcondition,correct,question_order
,,,,,fixation,3825,html-keyboard-response,174,196193,0.0-5.0-0.35,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,sentence,3825,html-keyboard-response,175,196884,0.0-5.0-1.35,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,679, ,,A cat is drinking water from a bowl,3,Filler,,
,,,,,fixation,3825,html-keyboard-response,176,197401,0.0-5.0-2.35,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,picture,3825,image-keyboard-response,177,197809,0.0-5.0-3.35,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,394,s,,bowl.jpg,3,Filler,TRUE,
,,,,,fixation,3825,html-keyboard-response,178,198825,0.0-5.0-0.36,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,sentence,3825,html-keyboard-response,179,199402,0.0-5.0-1.36,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,566, ,,A kitten is playing in the sandbox,3,Filler,,
,,,,,fixation,3825,html-keyboard-response,180,199921,0.0-5.0-2.36,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,picture,3825,image-keyboard-response,181,200496,0.0-5.0-3.36,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,557,n,,dustbin.jpg,3,Filler,TRUE,
,,,,,fixation,3825,html-keyboard-response,182,201509,0.0-5.0-0.37,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,sentence,3825,html-keyboard-response,183,202067,0.0-5.0-1.37,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,548, ,,A woman is taking money out of a wallet,3,Filler,,
,,,,,fixation,3825,html-keyboard-response,184,202585,0.0-5.0-2.37,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,picture,3825,image-keyboard-response,185,203101,0.0-5.0-3.37,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,504,n,,coconut.jpg,3,Filler,TRUE,
,,,,,fixation,3825,html-keyboard-response,186,204120,0.0-5.0-0.38,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,sentence,3825,html-keyboard-response,187,204542,0.0-5.0-1.38,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,409, ,,A teenage girl is playing the piano,3,Filler,,
,,,,,fixation,3825,html-keyboard-response,188,205057,0.0-5.0-2.38,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,picture,3825,image-keyboard-response,189,205683,0.0-5.0-3.38,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,614,n,,pillow.jpg,3,Filler,TRUE,
,,,,,fixation,3825,html-keyboard-response,190,206705,0.0-5.0-0.39,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,sentence,3825,html-keyboard-response,191,207145,0.0-5.0-1.39,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,428, ,,A keyboard was placed on the bed,3,Filler,,
,,,,,fixation,3825,html-keyboard-response,192,207665,0.0-5.0-2.39,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,picture,3825,image-keyboard-response,193,208180,0.0-5.0-3.39,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,505,n,,bottlecap.jpg,3,Filler,TRUE,
,,,,,fixation,3825,html-keyboard-response,194,209201,0.0-5.0-0.40,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,sentence,3825,html-keyboard-response,195,209680,0.0-5.0-1.40,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,465, ,,An elephant is eating a watermelon,3,Filler,,
,,,,,fixation,3825,html-keyboard-response,196,210194,0.0-5.0-2.40,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,picture,3825,image-keyboard-response,197,210590,0.0-5.0-3.40,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,382,s,,watermelon.jpg,3,Filler,TRUE,
